8,4,35916
7,5,58126
8,4,32354
8,4,88528
7,5,208569
7,5,127265
7,5,72519
8,4,65498
8,4,83698
7,5,243323
7,5,99073
7,5,104777
7,5,112035
8,5,41797
8,4,64924
7,5,129765
8,4,41222
8,5,45851
8,4,40140
8,4,133310
7,5,175808
7,5,130746
8,4,125840
8,4,62864
8,4,66046
7,5,159187
7,5,210580
8,4,54188
8,4,125198
8,4,88054
7,5,146290
8,5,67607
8,4,59438
8,5,1646
8,4,124429
8,4,215099
8,4,196800
8,5,13380
8,4,84170
7,5,156131
8,4,68249
8,4,70822
8,4,109261
8,5,85033
8,4,110258
8,4,92503
8,5,88193
8,5,32108
8,4,170987
7,5,251760
8,4,235638
7,5,202332
7,5,145846
7,5,319334
8,5,54158
8,4,69796
7,5,159796
8,5,9817
8,4,82965
7,5,172509
8,5,57911
8,5,136275
7,5,123208
8,4,137309
9,2,211
9,2,1055
9,2,1119
9,2,241
7,5,186556
8,4,124105
8,5,163025
7,5,197444
7,5,188432
8,4,138265
7,5,151276
7,5,249657
8,4,100314
9,2,499
8,4,130312
9,2,257
7,5,204082
9,2,9
9,2,508
9,2,893
9,2,686
8,5,47671
8,4,239904
9,2,973
9,2,53
9,2,70
9,2,674
9,2,1081
9,2,106
9,2,721
9,2,1070
9,2,279
9,2,224
9,2,86
9,2,429
9,2,386
9,2,262
9,2,1712
9,2,144
9,2,126
9,2,1331
9,2,423
9,2,205
9,2,1466
9,2,78
9,2,281
9,2,4521
9,2,746
9,2,70
9,2,953
9,2,140
9,2,10
9,2,1254
9,2,110
9,2,989
9,2,1101
9,2,4
9,2,499
9,2,340
9,2,613
9,2,1081
9,2,338
9,2,74
9,2,785
9,2,1584
9,2,109
9,2,910
9,2,849
9,2,1009
9,2,421
9,2,1125
9,2,1590
9,2,620
9,2,429
8,5,123334
9,2,159
9,2,1437
9,2,1084
9,2,10
9,2,1795
9,2,1267
9,2,1120
9,2,731
9,2,542
9,2,946
9,2,990
9,2,596
9,2,987
9,2,518
9,2,919
9,2,605
9,2,337
9,2,1328
9,2,80
7,5,228865
9,2,983
9,2,224
9,2,1729
9,2,3365
9,2,1791
9,2,821
9,2,1266
9,2,669
9,2,773
9,2,1014
9,2,829
9,2,590
9,2,692
9,2,771
9,2,2083
9,2,927
9,2,900
8,4,173736
8,5,206553
7,5,225504
8,5,149607
9,3,2361
8,4,150285
9,3,8156
9,3,8372
8,5,145749
9,3,9566
9,3,6201
9,3,10438
9,3,10476
9,3,11559
9,3,13875
9,3,5699
9,3,11895
9,3,8236
9,3,9
9,3,8261
8,5,59306
7,5,208216
9,2,168
9,2,395
9,3,17931
8,4,243450
9,3,2825
9,3,3107
9,3,698
9,3,14379
9,3,6253
9,2,2067
8,5,87347
8,4,162480
7,5,389240
9,3,27111
9,3,33879
9,3,11683
8,5,125678
9,3,4573
9,3,6284
9,3,38948
9,3,32151
9,3,2955
8,5,185433
9,3,9249
9,3,11069
9,3,16472
9,3,12741
8,4,355860
9,3,11142
9,3,5409
7,5,249811
9,3,23251
9,3,5910
9,3,38786
9,3,27456
9,3,19131
9,3,2233
8,5,120584
9,3,4069
8,5,37850
9,3,9625
9,3,886
9,3,18297
9,3,38632
9,3,10216
9,3,1283
9,3,55282
9,3,7398
9,3,6805
8,5,206453
9,3,22833
9,3,21903
9,3,32640
9,3,15418
9,3,55589
9,3,44886
8,5,154879
9,3,24532
9,3,41141
9,3,26319
9,3,41685
9,3,45929
9,3,29037
9,3,26888
9,3,6079
9,3,59362
9,3,60451
9,3,7242
9,3,46403
7,5,239347
9,3,15305
9,3,46216
9,3,8469
8,5,180901
9,3,14163
7,5,249490
9,3,38241
8,5,134644
9,3,26234
8,4,200883
9,3,50068
9,3,28453
9,3,21528
8,5,313270
9,3,28105
9,3,47721
8,5,337740
9,3,33874
9,3,92996
8,4,193088
9,3,73712
9,3,50441
9,3,40704
8,5,359369
9,3,92206
9,3,58609
9,3,87218
9,3,15480
9,3,94056
9,4,18905
9,4,45892
8,4,239409
9,3,51430
8,4,309619
9,4,4315
9,3,59828
9,3,91368
8,4,300861
9,3,60634
9,3,82151
9,3,71120
